Suburb,Land_Use,Land_Use_Description,Count
ABERFOYLE PARK                                    ,1100,Single Unit - House                               ,3978
ABERFOYLE PARK                                    ,1101,House and Granny Flat                             ,10
ABERFOYLE PARK                                    ,1110,Home Industry (Owner Resides)                     ,1
ABERFOYLE PARK                                    ,1112,House & Surgery                                   ,1
ABERFOYLE PARK                                    ,1118,House-unestablished grnds/gdns                    ,3
ABERFOYLE PARK                                    ,1119,Unfinished House                                  ,2
ABERFOYLE PARK                                    ,1220,Maisonette                                        ,17
ABERFOYLE PARK                                    ,1310,Ground Floor Unit                                 ,109
ABERFOYLE PARK                                    ,1315,Detached Single Storey Unit                       ,38
ABERFOYLE PARK                                    ,1330,Townhouse (Ground & 1st Floor)                    ,2
ABERFOYLE PARK                                    ,1413,Sngle stry flts-bld strta titl                    ,2
ABERFOYLE PARK                                    ,1760,Retired & Aged Accommodation                      ,2
ABERFOYLE PARK                                    ,1765,Independent Living Unit                           ,166
ABERFOYLE PARK                                    ,1810,Hotel                                             ,1
ABERFOYLE PARK                                    ,2110,Retail Trade- Dprtmnt & Genrl                     ,1
ABERFOYLE PARK                                    ,2121,Retail Trade - Clothing                           ,2
ABERFOYLE PARK                                    ,2133,Retail Domestic Hardware                          ,1
ABERFOYLE PARK                                    ,2138,Retail - Other Household Goods                    ,1
ABERFOYLE PARK                                    ,2139,Retail Other Electrical                           ,1
ABERFOYLE PARK                                    ,2140,Retail Trade - Food and Drink                     ,1
ABERFOYLE PARK                                    ,2141,Delicatessen                                      ,3
ABERFOYLE PARK                                    ,2144,Butcher                                           ,1
ABERFOYLE PARK                                    ,2145,Fruit and Veg.                                    ,2
ABERFOYLE PARK                                    ,2146,"Bread,Cakes & Pastry                              ",2
ABERFOYLE PARK                                    ,2147,Health Food & Drinks                              ,1
ABERFOYLE PARK                                    ,2149,Wine Shop                                         ,1
ABERFOYLE PARK                                    ,2151,Chicken Shop                                      ,2
ABERFOYLE PARK                                    ,2157,Toy Shop                                          ,1
ABERFOYLE PARK                                    ,2158,Craft & Pottery                                   ,1
ABERFOYLE PARK                                    ,2160,Specialty Shops                                   ,1
ABERFOYLE PARK                                    ,2161,Chemist                                           ,3
ABERFOYLE PARK                                    ,2162,"Newsagent,Book Shop etc                           ",1
ABERFOYLE PARK                                    ,2163,Music Shop                                        ,3
ABERFOYLE PARK                                    ,2166,Florist & Plant Shop                              ,2
ABERFOYLE PARK                                    ,2167,Gift Shop & Tobacconist                           ,1
ABERFOYLE PARK                                    ,2168,Second-hand & Antiques                            ,2
