Suburb,Zone,Zone_Description,Number of Properties
ABERFOYLE PARK                                    ,DCe       ,District Centre,132
ABERFOYLE PARK                                    ,HF        ,Hills Face,4
ABERFOYLE PARK                                    ,LCe       ,Local Centre,15
ABERFOYLE PARK                                    ,R         ,Residential,3732
ABERFOYLE PARK                                    ,RH        ,Residential Hills,796
ABERFOYLE PARK                                    ,RuL       ,Rural Living,27
ALDINGA                                           ,CP        ,Caravan and Tourist Park,2
ALDINGA                                           ,DU        ,Deferred Urban,8
ALDINGA                                           ,OS        ,Open Space,12
ALDINGA                                           ,PRPRO     ,Primary Production,118
ALDINGA                                           ,TD        ,Tourism Development,4
ALDINGA                                           ,T         ,Township,257
ALDINGA BEACH                                     ,CP        ,Caravan and Tourist Park,1
ALDINGA BEACH                                     ,CSTCON    ,Coastal Conservation,11
ALDINGA BEACH                                     ,Con       ,Conservation,13
ALDINGA BEACH                                     ,DU        ,Deferred Urban,2
ALDINGA BEACH                                     ,DCe       ,District Centre,87
ALDINGA BEACH                                     ,In        ,Industry,73
ALDINGA BEACH                                     ,LIN       ,Light Industry,72
ALDINGA BEACH                                     ,PRPRO     ,Primary Production,76
ALDINGA BEACH                                     ,R         ,Residential,4935
BLEWITT SPRINGS                                   ,HF        ,Hills Face,35
BLEWITT SPRINGS                                   ,PRPRO     ,Primary Production,162
CHANDLERS HILL                                    ,HF        ,Hills Face,94
CHANDLERS HILL                                    ,PRPRO     ,Primary Production,23
CHANDLERS HILL                                    ,RH        ,Residential Hills,141
CHANDLERS HILL                                    ,RuL       ,Rural Living,13
CHANDLERS HILL                                    ,WP(MLR)   ,Watershed Protection (Mount Lofty Ranges),30
CHERRY GARDENS                                    ,HF        ,Hills Face,32
CHERRY GARDENS                                    ,PRPRO     ,Primary Production,67
CHERRY GARDENS                                    ,WP(MLR)   ,Watershed Protection (Mount Lofty Ranges),139
CHRISTIE DOWNS                                    ,DCe       ,District Centre,1
CHRISTIE DOWNS                                    ,In        ,Industry,4
CHRISTIE DOWNS                                    ,LCe       ,Local Centre,16
CHRISTIE DOWNS                                    ,NCe       ,Neighbourhood Centre,13
CHRISTIE DOWNS                                    ,RCE       ,Regional Centre,253
CHRISTIE DOWNS                                    ,R         ,Residential,2328
CHRISTIES BEACH                                   ,CP        ,Caravan and Tourist Park,1
CHRISTIES BEACH                                   ,CSTCON    ,Coastal Conservation,4
CHRISTIES BEACH                                   ,C         ,Commercial,19
CHRISTIES BEACH                                   ,DCe       ,District Centre,400
CHRISTIES BEACH                                   ,In        ,Industry,2
CHRISTIES BEACH                                   ,LCe       ,Local Centre,9
CHRISTIES BEACH                                   ,NCe       ,Neighbourhood Centre,19
CHRISTIES BEACH                                   ,R         ,Residential,2502
CLARENDON                                         ,HF        ,Hills Face,3
CLARENDON                                         ,LIN       ,Light Industry,1
CLARENDON                                         ,PRPRO     ,Primary Production,135
CLARENDON                                         ,T         ,Township,160
CLARENDON                                         ,WP(MLR)   ,Watershed Protection (Mount Lofty Ranges),43
COROMANDEL EAST                                   ,HF        ,Hills Face,121
COROMANDEL EAST                                   ,PRPRO     ,Primary Production,38
COROMANDEL VALLEY                                 ,HF        ,Hills Face,11
COROMANDEL VALLEY                                 ,NCe       ,Neighbourhood Centre,12
COROMANDEL VALLEY                                 ,OS        ,Open Space,17
COROMANDEL VALLEY                                 ,RH        ,Residential Hills,1176
DARLINGTON                                        ,C         ,Commercial,10
DARLINGTON                                        ,HF        ,Hills Face,1
DARLINGTON                                        ,OS        ,Open Space,7
DARLINGTON                                        ,R         ,Residential,280
DORSET VALE                                       ,WP(MLR)   ,Watershed Protection (Mount Lofty Ranges),9
FLAGSTAFF HILL                                    ,HF        ,Hills Face,169
FLAGSTAFF HILL                                    ,LCe       ,Local Centre,4
FLAGSTAFF HILL                                    ,NCe       ,Neighbourhood Centre,17
FLAGSTAFF HILL                                    ,OS        ,Open Space,19
FLAGSTAFF HILL                                    ,R         ,Residential,3714
FLAGSTAFF HILL                                    ,RH        ,Residential Hills,7
FLAGSTAFF HILL                                    ,RP        ,Residential Park,1
HACKHAM                                           ,C         ,Commercial,12
HACKHAM                                           ,HF        ,Hills Face,4
HACKHAM                                           ,In        ,Industry,223
HACKHAM                                           ,LCe       ,Local Centre,14
HACKHAM                                           ,NCe       ,Neighbourhood Centre,11
HACKHAM                                           ,PRPRO     ,Primary Production,22
HACKHAM                                           ,R         ,Residential,1794
HACKHAM WEST                                      ,LCe       ,Local Centre,22
HACKHAM WEST                                      ,R         ,Residential,1747
HAPPY VALLEY                                      ,CU        ,Community,283
HAPPY VALLEY                                      ,Con       ,Conservation,253
HAPPY VALLEY                                      ,HF        ,Hills Face,8
HAPPY VALLEY                                      ,LCe       ,Local Centre,16
HAPPY VALLEY                                      ,NCe       ,Neighbourhood Centre,27
HAPPY VALLEY                                      ,OS        ,Open Space,10
HAPPY VALLEY                                      ,R         ,Residential,4047
HAPPY VALLEY                                      ,RH        ,Residential Hills,756
HAPPY VALLEY                                      ,RuL       ,Rural Living,16
HUNTFIELD HEIGHTS                                 ,CU        ,Community,3
HUNTFIELD HEIGHTS                                 ,LCe       ,Local Centre,16
HUNTFIELD HEIGHTS                                 ,OS        ,Open Space,2
HUNTFIELD HEIGHTS                                 ,R         ,Residential,1790
IRONBANK                                          ,PRPRO     ,Primary Production,54
IRONBANK                                          ,WP(MLR)   ,Watershed Protection (Mount Lofty Ranges),4
KANGARILLA                                        ,PRPRO     ,Primary Production,298
KANGARILLA                                        ,T         ,Township,68
KANGARILLA                                        ,WP(MLR)   ,Watershed Protection (Mount Lofty Ranges),26
KUITPO                                            ,PRPRO     ,Primary Production,3
KUITPO                                            ,WP(MLR)   ,Watershed Protection (Mount Lofty Ranges),35
LONSDALE                                          ,In        ,Industry,1187
LONSDALE                                          ,MINEX     ,Mineral Extraction,1
MASLIN BEACH                                      ,CSTCON    ,Coastal Conservation,9
MASLIN BEACH                                      ,MINEX     ,Mineral Extraction,11
MASLIN BEACH                                      ,OS        ,Open Space,40
MASLIN BEACH                                      ,PRPRO     ,Primary Production,20
MASLIN BEACH                                      ,R         ,Residential,557
MCLAREN FLAT                                      ,HF        ,Hills Face,47
MCLAREN FLAT                                      ,PRPRO     ,Primary Production,219
MCLAREN FLAT                                      ,T         ,Township,412
MCLAREN VALE                                      ,CP        ,Caravan and Tourist Park,1
MCLAREN VALE                                      ,CU        ,Community,1
MCLAREN VALE                                      ,DU        ,Deferred Urban,2
MCLAREN VALE                                      ,HF        ,Hills Face,66
MCLAREN VALE                                      ,In        ,Industry,6
MCLAREN VALE                                      ,LIN       ,Light Industry,21
MCLAREN VALE                                      ,MINEX     ,Mineral Extraction,5
MCLAREN VALE                                      ,MU        ,Mixed Uses,29
MCLAREN VALE                                      ,NCe       ,Neighbourhood Centre,173
MCLAREN VALE                                      ,OS        ,Open Space,45
MCLAREN VALE                                      ,PRPRO     ,Primary Production,449
MCLAREN VALE                                      ,R         ,Residential,1440
